Width,Height,Label
0.6216931216931217,0.205,car
0.5767195767195767,0.12,fish
0.3994708994708995,0.36,house
0.37037037037037035,0.625,tree
0.5,0.295,bicycle
0.5423280423280423,0.49,guitar
0.1931216931216931,0.615,pencil
0.5661375661375662,0.495,clock
0.626984126984127,0.23,car
0.48412698412698413,0.135,fish
0.455026455026455,0.3875,house
0.5582010582010583,0.6725,tree
0.58994708994709,0.3075,bicycle
0.5767195767195767,0.5275,guitar
0.4074074074074074,0.5,pencil
0.47883597883597884,0.4525,clock
0.6111111111111112,0.28,car
0.35978835978835977,0.14,fish
0.5423280423280423,0.41,house
0.7857142857142857,0.7325,tree
0.35978835978835977,0.2925,bicycle
0.18253968253968253,0.4675,guitar
0.026455026455026454,0.5425,pencil
0.2724867724867725,0.2675,clock
0.5952380952380952,0.3075,car
0.5661375661375662,0.1825,fish
0.6190476190476191,0.5925,house
0.6005291005291006,0.565,tree
0.5582010582010583,0.3825,bicycle
0.746031746031746,0.2575,guitar
0.037037037037037035,0.28,pencil
0.8703703703703703,0.8075,clock
0.5846560846560847,0.3825,car
0.42857142857142855,0.2075,fish
0.6216931216931217,0.6175,house
0.753968253968254,0.6975,tree
0.4126984126984127,0.245,bicycle
0.24867724867724866,0.7125,guitar
0.05291005291005291,0.7375,pencil
0.8492063492063492,0.7325,clock
0.42857142857142855,0.14,car
0.5238095238095238,0.1625,fish
0.8174603174603174,0.6175,house
0.7513227513227513,0.815,tree
0.5052910052910053,0.31,bicycle
0.3306878306878307,0.895,guitar
0.7248677248677249,0.01,pencil
0.656084656084656,0.6125,clock
0.7566137566137566,0.32,car
0.783068783068783,0.4075,fish
0.7486772486772487,0.765,house
0.7195767195767195,0.9475,tree
0.6375661375661376,0.505,bicycle
0.783068783068783,0.64,guitar
0.6428571428571429,0.72,pencil
0.544973544973545,0.5325,clock
0.798941798941799,0.3225,car
0.41534391534391535,0.2325,fish
0.31746031746031744,0.5875,house
0.3994708994708995,0.5425,tree
0.3783068783068783,0.27,bicycle
0.3439153439153439,0.6675,guitar
0.291005291005291,0.6425,pencil
0.48148148148148145,0.46,clock
0.8333333333333334,0.46,car
0.35714285714285715,0.5775,fish
0.43386243386243384,0.59,house
0.582010582010582,0.655,tree
0.5291005291005291,0.18,bicycle
0.37037037037037035,0.6425,guitar
0.14814814814814814,0.595,pencil
0.3148148148148148,0.375,clock
0.6402116402116402,0.185,car
0.18518518518518517,0.0775,fish
0.30687830687830686,0.295,house
0.3306878306878307,0.355,tree
0.47354497354497355,0.29,bicycle
0.21693121693121692,0.1525,guitar
0.3915343915343915,0.055,pencil
0.24603174603174602,0.265,clock
0.8095238095238095,0.4875,car
0.5925925925925926,0.52,fish
0.58994708994709,0.635,house
0.6613756613756614,0.8025,tree
0.8015873015873016,0.545,bicycle
0.6851851851851852,0.725,guitar
0.5873015873015873,0.655,pencil
0.42063492063492064,0.4725,clock
0.6455026455026455,0.245,car
0.6507936507936508,0.1025,fish
0.7275132275132276,0.675,house
0.6190476190476191,0.765,tree
0.4708994708994709,0.25,bicycle
0.9126984126984127,0.64,guitar
0.4576719576719577,0.4325,pencil
0.5211640211640212,0.635,clock
0.8333333333333334,0.32,car
0.716931216931217,0.3225,fish
0.8121693121693122,0.5275,house
0.6190476190476191,0.815,tree
0.7275132275132276,0.595,bicycle
0.5740740740740741,0.6975,guitar
0.9312169312169312,0.84,pencil
0.7116402116402116,0.835,clock
0.8121693121693122,0.22,car
0.582010582010582,0.315,fish
0.6402116402116402,0.38,house
0.6904761904761905,0.7125,tree
0.6984126984126984,0.4075,bicycle
0.23809523809523808,0.7825,guitar
0,0.5175,pencil
0.3306878306878307,0.3175,clock
0.7063492063492064,0.225,car
0.455026455026455,0.22,fish
0.3862433862433862,0.435,house
0.5317460317460317,0.64,tree
0.5793650793650794,0.2675,bicycle
0.7645502645502645,0.6025,guitar
0.5,0.355,pencil
0.5264550264550265,0.35,clock
0.37037037037037035,0.1275,car
0.35714285714285715,0.0625,fish
0.4365079365079365,0.4325,house
0.5582010582010583,0.5725,tree
0.5423280423280423,0.3925,bicycle
0.15873015873015872,0.5125,guitar
0.20899470899470898,0.2275,pencil
0.1455026455026455,0.21,clock
0.8783068783068783,0.335,car
0.9814814814814815,0.905,fish
0.9841269841269841,0.5325,house
0.8571428571428571,0.95,tree
0.8677248677248677,0.59,bicycle
0.8465608465608465,0.9425,guitar
0.843915343915344,0.7525,pencil
0.3439153439153439,0.72,clock
0.6164021164021164,0.1475,car
0.5978835978835979,0.1525,fish
0.35978835978835977,0.6,house
0.7883597883597884,0.77,tree
0.6825396825396826,0.3625,bicycle
0.5502645502645502,0.6825,guitar
0.3783068783068783,0.41,pencil
0.798941798941799,0.7425,clock
0.7804232804232805,0.3475,car
0.8571428571428571,0.2775,fish
0.48148148148148145,0.695,house
0.7645502645502645,0.8925,tree
0.7407407407407407,0.525,bicycle
0.8015873015873016,0.7375,guitar
0.5343915343915344,0.5175,pencil
0.5343915343915344,0.47,clock
0.8968253968253969,0.4525,car
0.5,0.14,fish
0.6111111111111112,0.7625,house
0.828042328042328,1,tree
0.7407407407407407,0.49,bicycle
0.3492063492063492,0.865,guitar
0.18783068783068782,0.885,pencil
0.7301587301587301,0.825,clock
0.8095238095238095,0.445,car
0.701058201058201,0.3225,fish
0.6984126984126984,0.5575,house
0.6349206349206349,0.865,tree
0.8174603174603174,0.5175,bicycle
0.7804232804232805,0.6475,guitar
0.6851851851851852,0.595,pencil
0.4417989417989418,0.4825,clock
0.791005291005291,0.255,car
0.7751322751322751,0.1075,fish
0.5952380952380952,0.7775,house
0.8624338624338624,0.8975,tree
0.626984126984127,0.345,bicycle
0.544973544973545,0.4725,guitar
0.31746031746031744,0.4675,pencil
0.455026455026455,0.435,clock
0.7724867724867724,0.31,car
0.7275132275132276,0.2775,fish
0.7407407407407407,0.6825,house
0.5476190476190477,0.6025,tree
0.6587301587301587,0.375,bicycle
0.2830687830687831,0.5975,guitar
0.4417989417989418,0.4525,pencil
0.5211640211640212,0.415,clock
0.8359788359788359,0.31,car
0.6349206349206349,0.2475,fish
0.373015873015873,0.565,house
0.41534391534391535,0.5325,tree
0.3783068783068783,0.2575,bicycle
0.36772486772486773,0.7425,guitar
0.6666666666666666,0.4275,pencil
0.7936507936507936,0.69,clock
0.5343915343915344,0.1725,car
0.5873015873015873,0.1,fish
0.30952380952380953,0.4125,house
0.4021164021164021,0.67,tree
0.20899470899470898,0.1975,bicycle
0.29894179894179895,0.735,guitar
0.4973544973544973,0.345,pencil
0.2751322751322751,0.275,clock
0.8068783068783069,0.35,car
0.5211640211640212,0.3075,fish
0.6296296296296297,0.67,house
0.48148148148148145,0.6875,tree
0.6851851851851852,0.3925,bicycle
0.6005291005291006,0.84,guitar
0.5740740740740741,0.645,pencil
0.7354497354497355,0.715,clock
0.7724867724867724,0.17,car
0.8756613756613757,0.2775,fish
0.5582010582010583,0.4525,house
0.7857142857142857,0.7625,tree
0.7751322751322751,0.315,bicycle
0.8227513227513228,0.23,guitar
0.015873015873015872,0.65,pencil
0.7751322751322751,0.5825,clock
0.6481481481481481,0.5225,car
0.6693121693121693,0.2875,fish
0.9947089947089947,0.9575,house
0.5793650793650794,0.82,tree
0.4894179894179894,0.27,bicycle
0.5873015873015873,0.6675,guitar
0.8571428571428571,0.7625,pencil
0.8068783068783069,0.675,clock
0.7063492063492064,0.34,car
0.7513227513227513,0.425,fish
0.4603174603174603,0.4275,house
0.626984126984127,0.5175,tree
0.6693121693121693,0.36,bicycle
0.4894179894179894,0.6475,guitar
0.38095238095238093,0.5075,pencil
0.5158730158730159,0.5375,clock
0.6851851851851852,0.2575,car
0.5740740740740741,0.19,fish
0.3862433862433862,0.4525,house
0.5793650793650794,0.8125,tree
0.7857142857142857,0.3225,bicycle
0.48148148148148145,0.4175,guitar
0.20105820105820105,0.2,pencil
0.4894179894179894,0.455,clock
0.8015873015873016,0.4225,car
0.42328042328042326,0.1975,fish
0.6746031746031746,0.7375,house
0.5291005291005291,0.5675,tree
0.6137566137566137,0.545,bicycle
0.8015873015873016,0.2475,guitar
0.013227513227513227,0.5375,pencil
0.4523809523809524,0.48,clock
0.6164021164021164,0.23,car
0.4947089947089947,0.185,fish
0.5079365079365079,0.6875,house
0.5661375661375662,0.76,tree
0.47883597883597884,0.3025,bicycle
0.746031746031746,0.2675,guitar
0.15343915343915343,0.5675,pencil
0.3835978835978836,0.36,clock
0.5873015873015873,0.3825,car
0.5925925925925926,0.4075,fish
0.5370370370370371,0.4,house
0.5582010582010583,0.54,tree
0.746031746031746,0.455,bicycle
0.2751322751322751,0.78,guitar
0.5343915343915344,0.7125,pencil
0.6349206349206349,0.715,clock
0.5767195767195767,0.22,car
0.36772486772486773,0.23,fish
0.6111111111111112,0.64,house
0.7698412698412699,0.765,tree
0.5105820105820106,0.3725,bicycle
0.41005291005291006,0.8,guitar
0.06878306878306878,0.6075,pencil
0.5079365079365079,0.5375,clock
0.917989417989418,0.2725,car
0.8359788359788359,0.4175,fish
0.9285714285714286,0.6225,house
0.7857142857142857,0.8675,tree
0.701058201058201,0.4525,bicycle
0.9285714285714286,0.66,guitar
0.5582010582010583,0.5125,pencil
0.48677248677248675,0.4475,clock
0.746031746031746,0.37,car
0.6190476190476191,0.31,fish
0.48148148148148145,0.495,house
0.6878306878306878,0.665,tree
0.6613756613756614,0.3,bicycle
0.6375661375661376,0.61,guitar
0.7275132275132276,0.73,pencil
0.4708994708994709,0.4325,clock
0.7592592592592593,0.4225,car
0.8148148148148148,0.5775,fish
0.716931216931217,0.5375,house
0.9259259259259259,0.81,tree
0.6296296296296297,0.5475,bicycle
0.716931216931217,0.775,guitar
0.36507936507936506,0.5425,pencil
0.5634920634920635,0.685,clock
0.6005291005291006,0.315,car
0.7486772486772487,0.275,fish
0.701058201058201,0.77,house
0.6216931216931217,0.6575,tree
0.6825396825396826,0.385,bicycle
0.8227513227513228,0.6675,guitar
0.328042328042328,0.2125,pencil
0.5370370370370371,0.465,clock
0.9947089947089947,0.875,car
0.7328042328042328,0.46,fish
0.24074074074074073,0.51,house
0.41798941798941797,0.6175,tree
0.43915343915343913,0.22,bicycle
0.19047619047619047,0.7325,guitar
0.047619047619047616,0.68,pencil
0.5582010582010583,0.615,clock
0.8253968253968254,0.43,car
0.8333333333333334,0.3125,fish
0.6031746031746031,0.6875,house
0.6455026455026455,0.765,tree
0.6613756613756614,0.6075,bicycle
0.6904761904761905,0.6175,guitar
0.7275132275132276,0.495,pencil
0.48677248677248675,0.555,clock
0.8148148148148148,0.325,car
0.5079365079365079,0.2675,fish
0.5793650793650794,0.655,house
0.5343915343915344,0.7575,tree
0.7037037037037037,0.485,bicycle
0.8968253968253969,0.705,guitar
0.12698412698412698,0.765,pencil
0.6111111111111112,0.59,clock
0.91005291005291,0.4475,car
0.7275132275132276,0.3275,fish
0.3941798941798942,0.5525,house
0.671957671957672,0.8225,tree
0.6349206349206349,0.5725,bicycle
0.828042328042328,0.8125,guitar
0.43915343915343913,0.375,pencil
0.3968253968253968,0.405,clock
0.8809523809523809,0.4925,car
0.6428571428571429,0.27,fish
0.8492063492063492,0.7125,house
0.24603174603174602,0.8125,tree
0.8888888888888888,0.4975,bicycle
0.7486772486772487,0.3125,guitar
0.7063492063492064,0.71,pencil
0.783068783068783,0.6825,clock
0.671957671957672,0.3475,car
0.5158730158730159,0.1275,fish
0.3306878306878307,0.38,house
0.6164021164021164,0.855,tree
0.48412698412698413,0.25,bicycle
0.6534391534391535,0.125,guitar
0.023809523809523808,0.47,pencil
0.48148148148148145,0.46,clock
0.6693121693121693,0.2425,car
0.12698412698412698,0.2525,fish
